Order_Date,Order_Quantity,Product_Container,Sales,Ship_Mode
2007-01-27,31,Medium Box,6567,Express Air
2007-01-28,39,Large Box,1780,Regular Air
2007-01-29,15,Jumbo Drum,578,Delivery Truck
2007-01-30,30,Small Pack,611,Regular Air
2007-01-31,10,Small Box,517,Regular Air
2007-02-01,41,Small Box,283,Regular Air
2007-02-02,42,Jumbo Drum,7373,Delivery Truck
2007-02-04,15,Jumbo Box,9572,Delivery Truck
2007-02-06,6,Medium Box,463,Regular Air
2007-02-09,16,Small Pack,142,Regular Air
2007-03-01,29,Small Box,3212,Regular Air
2007-03-02,46,Small Box,1603,Express Air
2007-03-03,23,Small Pack,214,Express Air
2007-03-04,18,Small Box,2253,Regular Air
2007-03-05,38,Small Box,1498,Express Air
2007-03-02,25,Small Pack,709,Regular Air
2007-03-03,8,Small Box,351,Regular Air
2007-03-04,37,Small Box,512,Regular Air
2007-03-05,15,Jumbo Drum,1044,Delivery Truck
2007-03-06,10,Small Box,34,Regular Air
2007-03-07,1,Large Box,4663,Express Air
2007-03-08,29,Small Box,891,Regular Air
2007-03-09,47,Small Pack,561,Express Air
2007-03-10,1,Jumbo Box,226,Delivery Truck
2007-03-11,34,Small Box,88,Regular Air
2007-03-12,1,Wrap Bag,14,Regular Air
2007-03-13,14,Jumbo Drum,4566,Delivery Truck
2007-03-14,10,Small Box,1082,Regular Air
2007-03-15,36,Small Box,2554,Express Air
2007-03-16,29,Jumbo Drum,3212,Regular Air